date,geography,geography code,Country of birth: Total; measures: Value,Country of birth: Europe; measures: Value,Country of birth: Europe: United Kingdom; measures: Value,Country of birth: Europe: EU countries; measures: Value,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Country of birth: Europe: Non-EU countries; measures: Value,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Country of birth: Africa; measures: Value,Country of birth: Middle East and Asia; measures: Value,Country of birth: The Americas and the Caribbean; measures: Value,Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value,Country of birth: British Overseas ; measures: Value
2021,Birmingham 046C,E01009308,1898,1783,1721,61,25,24,10,2,1,1,34,47,29,1,4
2021,Birmingham 046D,E01009310,1996,1887,1814,65,26,13,25,1,8,8,28,51,24,2,4
2021,Birmingham 047A,E01009348,2097,1437,1265,166,91,38,31,6,6,6,269,240,138,0,13
2021,Birmingham 047B,E01009358,2248,1464,1268,189,67,36,86,0,7,7,214,481,77,8,4
2021,Birmingham 047C,E01009359,2069,1229,1038,167,53,59,54,1,24,24,145,614,78,0,3
2021,Birmingham 047D,E01009360,2785,1921,1586,311,108,101,101,1,24,24,271,429,148,0,16
2021,Birmingham 047E,E01009361,2191,1472,1162,295,80,96,119,0,15,15,192,422,98,0,7
2021,Birmingham 048A,E01009478,2113,1531,1430,91,43,15,32,1,10,10,124,441,16,0,1
2021,Birmingham 048B,E01009479,2236,1495,1372,117,74,3,39,1,6,6,114,597,28,0,2
2021,Birmingham 048C,E01009482,1746,1157,1007,105,54,3,47,1,45,45,91,493,5,0,0
2021,Birmingham 048D,E01009484,1811,1181,1068,101,42,7,51,1,12,12,102,509,13,0,6
2021,Birmingham 048E,E01009485,2051,1345,1218,112,51,2,59,0,15,15,96,587,21,2,0
2021,Birmingham 049A,E01008906,1989,1184,1114,70,51,8,10,1,0,0,130,637,36,1,1
2021,Birmingham 049B,E01008911,1945,1180,1017,144,107,25,12,0,19,19,434,214,101,0,16
2021,Birmingham 049D,E01009347,1578,1055,957,88,43,34,11,0,10,10,232,165,114,1,11
2021,Birmingham 049E,E01033559,1484,1249,1044,159,79,38,41,1,46,46,94,90,37,11,3
2021,Birmingham 049F,E01033638,1966,1196,1041,139,99,14,26,0,16,16,371,286,85,1,27
2021,Birmingham 050A,E01008910,1754,1081,929,147,129,16,1,1,5,5,235,358,65,1,14
2021,Birmingham 050B,E01008913,2258,1330,1168,139,95,37,7,0,23,23,554,171,169,2,32
2021,Birmingham 050E,E01033561,2592,1931,1722,196,148,36,12,0,13,13,283,307,65,1,5
2021,Birmingham 050F,E01033617,5671,4204,3654,490,324,87,56,23,60,60,432,937,92,5,1
2021,Birmingham 050G,E01034929,1584,956,815,131,72,57,2,0,10,10,428,140,36,0,24
2021,Birmingham 050H,E01034930,2225,1593,1288,273,158,60,37,18,32,32,334,233,49,6,10
2021,Birmingham 051B,E01009483,2071,1308,1178,124,68,4,52,0,6,6,82,673,7,1,0
2021,Birmingham 051C,E01009488,2562,1786,1658,116,60,5,51,0,12,12,153,610,6,4,3
2021,Birmingham 051D,E01009489,2119,1322,1218,95,58,8,29,0,9,9,57,716,23,1,0
2021,Birmingham 051E,E01009491,2201,1432,1347,79,49,0,30,0,6,6,103,662,2,2,0
2021,Birmingham 051F,E01034931,1917,1206,1033,170,144,4,22,0,3,3,147,561,3,0,0
2021,Birmingham 051G,E01034932,1526,989,921,55,44,0,11,0,13,13,86,429,21,0,1
2021,Birmingham 052B,E01009192,2776,1760,1684,67,58,1,7,1,9,9,67,933,16,0,0
2021,Birmingham 052D,E01009199,1438,965,815,116,66,35,14,1,34,34,164,250,51,0,8
2021,Birmingham 052E,E01009204,2168,1420,1228,169,133,15,19,2,23,23,469,229,43,1,6
2021,Birmingham 052G,E01034933,1499,924,866,53,32,4,17,0,5,5,47,517,9,0,2
